epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,863.22,0.96195,0.59632,1.08016,0.94893,0.86538,0.95724,0.70299,1.02355,0.5973,1.09309,0.0011684,0.0011684,0.0011684
44,882.164,0.97516,0.61232,1.0899,0.92145,0.90231,0.96483,0.69554,1.02696,0.59613,1.08576,0.0011486,0.0011486,0.0011486
45,901.898,0.95197,0.57502,1.06418,0.90545,0.8748,0.9311,0.68102,1.01522,0.69192,1.07957,0.0011288,0.0011288,0.0011288
46,921.179,0.97294,0.62428,1.08614,0.96044,0.81699,0.93698,0.67606,1.0503,0.63872,1.11665,0.001109,0.001109,0.001109
47,940.889,0.95224,0.59417,1.07026,0.91009,0.88942,0.94727,0.69937,1.00608,0.6205,1.11195,0.0010892,0.0010892,0.0010892
48,959.857,0.95433,0.56534,1.07208,0.9453,0.83087,0.90902,0.65595,1.08074,0.69759,1.09765,0.0010694,0.0010694,0.0010694
49,979.596,0.93781,0.55503,1.06516,0.92513,0.87981,0.95679,0.70692,1.02373,0.63058,1.1032,0.0010496,0.0010496,0.0010496
50,998.628,0.94829,0.56642,1.07619,0.93316,0.87258,0.95578,0.71304,0.99357,0.57111,1.1023,0.0010298,0.0010298,0.0010298
51,1018.38,0.93557,0.55915,1.05633,0.96004,0.875,0.96298,0.71012,1.00573,0.55898,1.08644,0.00101,0.00101,0.00101
52,1037.52,0.91084,0.54452,1.04305,0.96099,0.88462,0.95696,0.69396,1.0388,0.56956,1.10869,0.0009902,0.0009902,0.0009902
53,1057.26,0.92743,0.55798,1.04963,0.92669,0.89904,0.96032,0.70831,1.00247,0.58248,1.08169,0.0009704,0.0009704,0.0009704
54,1077.43,0.89881,0.70505,1.03053,0.93833,0.86058,0.95801,0.68211,1.11722,0.59259,1.11205,0.0009506,0.0009506,0.0009506
55,1097.91,0.91187,0.55013,1.05315,0.93951,0.86538,0.94429,0.68483,1.05858,0.61602,1.10977,0.0009308,0.0009308,0.0009308
56,1116.64,0.90204,0.53163,1.05061,0.91098,0.88557,0.93979,0.69723,1.00966,0.60291,1.08985,0.000911,0.000911,0.000911
57,1136.53,0.90172,0.54196,1.04134,0.91902,0.875,0.93134,0.68968,1.00687,0.6579,1.10534,0.0008912,0.0008912,0.0008912
58,1155.63,0.89507,0.51172,1.03569,0.93434,0.85096,0.95211,0.69822,1.00815,0.60063,1.11691,0.0008714,0.0008714,0.0008714
59,1175.27,0.88449,0.52377,1.03819,0.89296,0.89423,0.94522,0.69972,1.00674,0.6174,1.09482,0.0008516,0.0008516,0.0008516
60,1194.41,0.89483,0.51906,1.04069,0.91382,0.86659,0.94535,0.64229,1.19695,0.6856,1.1428,0.0008318,0.0008318,0.0008318
61,1214.24,0.89571,0.5344,1.03487,0.93965,0.89831,0.95799,0.7012,1.0069,0.56481,1.08704,0.000812,0.000812,0.000812
62,1233.29,0.87941,0.50774,1.03733,0.95984,0.85577,0.95147,0.70687,1.01043,0.6066,1.09138,0.0007922,0.0007922,0.0007922
63,1253.22,0.88199,0.50694,1.03188,0.96172,0.84541,0.94784,0.69891,1.03091,0.62568,1.10127,0.0007724,0.0007724,0.0007724
64,1272.35,0.87184,0.50597,1.02831,0.95297,0.87686,0.96356,0.71159,0.9912,0.56583,1.08917,0.0007526,0.0007526,0.0007526
65,1292.53,0.86508,0.49788,1.02578,0.94806,0.87748,0.95643,0.71821,0.98398,0.58143,1.08017,0.0007328,0.0007328,0.0007328
66,1311.88,0.89513,0.52143,1.04563,0.88932,0.88847,0.94995,0.70092,1.03504,0.62604,1.10544,0.000713,0.000713,0.000713
67,1331.85,0.84741,0.48879,1.01788,0.8776,0.91346,0.93969,0.69022,1.0432,0.61578,1.11259,0.0006932,0.0006932,0.0006932
68,1350.85,0.84349,0.47041,1.01672,0.90024,0.92308,0.96123,0.70725,1.03924,0.57476,1.10064,0.0006734,0.0006734,0.0006734
69,1370.67,0.84797,0.50876,1.01409,0.96342,0.88462,0.96358,0.71642,1.00222,0.53705,1.06913,0.0006536,0.0006536,0.0006536
70,1389.94,0.84435,0.49424,1.01832,0.93398,0.88415,0.95261,0.70791,1.00933,0.56648,1.06964,0.0006338,0.0006338,0.0006338
71,1409.8,0.83321,0.46341,1.00363,0.94739,0.88462,0.95915,0.71664,0.985,0.56792,1.07793,0.000614,0.000614,0.000614
72,1428.74,0.82701,0.46807,1.00947,0.93154,0.92308,0.962,0.72445,0.96939,0.54766,1.06129,0.0005942,0.0005942,0.0005942
73,1448.53,0.8248,0.47117,1.0032,0.93432,0.88462,0.95954,0.70835,1.01236,0.561,1.05453,0.0005744,0.0005744,0.0005744
74,1467.78,0.81798,0.46771,1.00212,0.95943,0.86058,0.95674,0.70034,1.04406,0.57126,1.07815,0.0005546,0.0005546,0.0005546
